GEOG,year,MEDINC,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,TOT_POP,MED_HV,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,MED_AGE,single_fam,multi_fam,H_Cost_Typical,HU_5_9UN,HU_10_19UN,HU_GT_19UN,vac_rate,...1,period,periodName,inflationfac,infl2022,medincome_adjust,medhv_adjust,stock_hh
Cook County,2012,54648,2178739,869539,118595,218404,252173,703831,5197677,244900,1933670,1140135,793535,245069,35.3,988134,1174408,NA,NA,NA,NA,11.24820366276089,13,M13,Annual,229.594,1.2746631009521154,69657.7891408312,312164.9934231731,1.1267377577352908
DuPage County,2012,78538,356370,212825,44266,2790,10850,85040,918608,298500,335532,251585,83947,20838,38.2,257091,98680,NA,NA,NA,NA,5.847293543227544,13,M13,Annual,229.594,1.2746631009521154,100109.49062257724,380486.93563420646,1.0621043596437896
Kane County,2012,68674,181587,125036,18561,8028,6757,21946,514891,233800,170069,129009,41060,11518,34.7,143597,36731,NA,NA,NA,NA,6.342965080099347,13,M13,Annual,229.594,1.2746631009521154,87536.21379478558,298016.23300260457,1.067725452610411
Kendall County,2012,83835,40002,30300,6320,268,734,2303,114226,229400,37817,32214,5603,2185,33,36620,3305,NA,NA,NA,NA,5.462226888655567,13,M13,Annual,229.594,1.2746631009521154,106861.3810683206,292407.71535841527,1.0577782478779385
Lake County,2012,79085,260020,175104,30151,6591,7314,36113,701282,267700,240744,184999,55745,19276,36.7,205255,50018,NA,NA,NA,NA,7.413275901853704,13,M13,Annual,229.594,1.2746631009521154,100806.73133879805,341227.3121248813,1.0800684544578474
McHenry County,2012,77325,116015,90256,11666,1809,3226,8356,308163,233400,108950,90267,18683,7065,38,101922,13391,NA,NA,NA,NA,6.089729776322027,13,M13,Annual,229.594,1.2746631009521154,98563.32428112233,297506.36776222376,1.06484625975218
Will County,2012,76352,237175,176194,28351,5010,5083,18903,677669,228900,222092,185671,36421,15083,35.5,204545,28996,NA,NA,NA,NA,6.359439232634132,13,M13,Annual,229.594,1.2746631009521154,97323.07708389591,291770.38380793924,1.0679132971921546
Cook County,2017,59426,2183987,880444,114466,211997,236268,725033,5238541,227400,1956561,1112383,844178,227426,36.4,994910,1173298,30,NA,NA,NA,10.413340372447271,8,M13,Annual,245.12,1.1939254242819841,70950.21226338118,271498.64148172317,1.1162376230539197
DuPage County,2017,84442,358421,214673,43308,2676,10871,86057,931826,289900,340669,249800,90869,17752,39.1,257981,99604,37,NA,NA,NA,4.952834794836241,8,M13,Annual,245.12,1.1939254242819841,100817.4506772193,346118.9804993472,1.052109232128547
Kane County,2017,74862,185566,129160,20524,7380,7248,20071,529402,223400,175930,128974,46956,9636,36.6,149684,34699,33,NA,NA,NA,5.192761605035405,8,M13,Annual,245.12,1.1939254242819841,89379.6451125979,266722.9397845953,1.0547717842323652
Kendall County,2017,89860,41463,31148,6096,592,593,2987,122933,214700,39882,32645,7237,1581,34.5,37244,4172,36,NA,NA,NA,3.8130381303813037,8,M13,Annual,245.12,1.1939254242819841,107286.13862597909,256335.788593342,1.0396419437340154
Lake County,2017,82613,262553,177353,27453,6897,8221,38241,704476,251400,244523,179525,64998,18030,38,204806,53359,39,NA,NA,NA,6.867184911236969,8,M13,Annual,245.12,1.1939254242819841,98633.76107620755,300152.8516644908,1.073735395034414
McHenry County,2017,82230,117813,91655,11060,2377,2838,9048,308043,212600,110860,88011,22849,6953,39.9,102715,14263,30,NA,NA,NA,5.901725616018606,8,M13,Annual,245.12,1.1939254242819841,98176.48763870755,253828.54520234984,1.0627187443622588
Will County,2017,80782,241498,180275,28752,4758,5811,18359,687727,216400,226668,184080,42588,14830,37.3,209027,28928,34,NA,NA,NA,6.140837605280375,8,M13,Annual,245.12,1.1939254242819841,96447.68362434724,258365.46181462138,1.0654260857289075
Region,2017,67619.28053,3391301,1704708,251659,236677,271850,899796,8522948,232565.4701,3095093,1975418,1119675,296208,36.98702642,1956367,1408323,0,NA,NA,NA,8.734347083906737,8,M13,Annual,245.12,1.1939254242819841,80732.37819642277,277665.8275624816,1.0957024554674124
Cook County,2022,78304,2261319,906452,121327,211609,235831,767707,5225367,293700,2066248,1188945,877303,195071,37.5,1027779,1215147,28,222163,107397,438147,8.626425550751575,3,M13,Annual,292.655,1,78304,293700,1.0944083188465277
DuPage County,2022,107035,365347,214489,43400,3211,13343,89764,930559,361700,348870,255186,93684,16477,39.9,257889,106318,33,23921,22227,43616,4.5099590252554425,3,M13,Annual,292.655,1,107035,361700,1.047229627081721
Kane County,2022,96400,188854,130207,22596,6351,6267,21887,517254,290100,182319,137062,45257,6535,38.3,152803,34505,29,6150,5252,10485,3.4603450284346637,3,M13,Annual,292.655,1,96400,290100,1.0358437683401072
Kendall County,2022,106358,45078,33914,7357,240,1138,2360,132795,288100,43878,36899,6979,1200,36.1,41271,3738,32,338,1371,651,2.662052442433116,3,M13,Annual,292.655,1,106358,288100,1.027348557363599
Lake County,2022,104553,269416,178729,27648,6964,8442,42867,713159,313700,254794,188048,66746,14622,38.7,206377,58273,34,9813,12032,21022,5.42729459274876,3,M13,Annual,292.655,1,104553,313700,1.057387536598193
McHenry County,2022,100101,119985,92662,12643,1675,2992,9238,311133,270600,115467,94946,20521,4518,40.5,105305,13905,29,4577,1931,2730,3.765470683835479,3,M13,Annual,292.655,1,100101,270600,1.0391280625633297
Will County,2022,103678,251029,187283,29107,5508,5896,19767,696774,283600,239064,196571,42493,11965,38.7,216390,31171,31,4899,6150,8718,4.766381573443706,3,M13,Annual,292.655,1,103678,283600,1.0500493591674196
Region,2022,87765.54661,3501028,1743736,264078,235558,273909,953590,8527041,296626.4774,3250640,2097657,1152983,250388,38.10079486,2007814,1463057,NA,271861,156360,525369,7.151842258902243,3,M13,Annual,292.655,1,87765.54661,296626.4774,1.0770272930868998
Region,2012,NA,3369908,1679254,257910,242900,286137,876492,8432516,1736600,3048874,2013880,1034994,321034,NA,NA,NA,NA,NA,NA,NA,9.526491524397699,13,M13,Annual,229.594,1.2746631009521154,NA,2213579.9411134436,1.1052959223634693
NA,2024,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,M13,Annual,313.689,0.9329463258195217,NA,NA,NA
NA,2023,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,M13,Annual,304.702,0.9604630097603559,NA,NA,NA
NA,2021,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,M13,Annual,270.97,1.0800273092962318,NA,NA,NA
NA,2020,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,M13,Annual,258.811,1.1307672394140897,NA,NA,NA
NA,2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,M13,Annual,255.657,1.1447173361183147,NA,NA,NA
NA,2018,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,M13,Annual,251.107,1.1654593460158418,NA,NA,NA
NA,2016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,M13,Annual,240.007,1.2193602686588307,NA,NA,NA
NA,2015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10,M13,Annual,237.017,1.2347426555901053,NA,NA,NA
NA,2014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11,M13,Annual,236.736,1.2362082657474993,NA,NA,NA
NA,2013,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,M13,Annual,232.957,1.2562618852406238,NA,NA,NA
NA,2011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,M13,Annual,224.939,1.3010416157269302,NA,NA,NA
NA,2010,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,M13,Annual,218.056,1.3421093664012913,NA,NA,NA
