bg2010gj,bg2010ge,tr2020gj,tr2020ge,parea,wt_pop,wt_adult,wt_fam,wt_hh,wt_hu,wt_ownhu,wt_renthu
G17000100001001,170010001001,G1700010000100,17001000100,1,1,1,1,1,1,1,1
G17000100001002,170010001002,G1700010000100,17001000100,1,1,1,1,1,1,1,1
G17000100001003,170010001003,G1700010000100,17001000100,1,1,1,1,1,1,1,1
G17000100001004,170010001004,G1700010000100,17001000100,1,1,1,1,1,1,1,1
G17000100001005,170010001005,G1700010000100,17001000100,1,1,1,1,1,1,1,1
G17000100002011,170010002011,G1700010000201,17001000201,1,1,1,1,1,1,1,1
G17000100002012,170010002012,G1700010000201,17001000201,1,1,1,1,1,1,1,1
G17000100002021,170010002021,G1700010000202,17001000202,1,1,1,1,1,1,1,1
G17000100002022,170010002022,G1700010000202,17001000202,1,1,1,1,1,1,1,1
G17000100002023,170010002023,G1700010000202,17001000202,1,1,1,1,1,1,1,1
G17000100004001,170010004001,G1700010000400,17001000400,0.9923799675,0.9968694919,0.995774827,0.9960110207,0.9951397487,0.9933565926,0.9925850853,0.9999972072
G17000100004001,170010004001,G1700010010500,17001010500,0.0076200325,0.0031305081,0.004225173,0.0039889793,0.0048602513,0.0066434074,0.0074149147,0.0000027928
G17000100004002,170010004002,G1700010000400,17001000400,1,1,1,1,1,1,1,1
G17000100004003,170010004003,G1700010000400,17001000400,1,1,1,1,1,1,1,1
G17000100004004,170010004004,G1700010000400,17001000400,1,1,1,1,1,1,1,1
G17000100005001,170010005001,G1700010000500,17001000500,1,1,1,1,1,1,1,1
G17000100005002,170010005002,G1700010000500,17001000500,1,1,1,1,1,1,1,1
G17000100006001,170010006001,G1700010000600,17001000600,1,1,1,1,1,1,1,1
G17000100006002,170010006002,G1700010000600,17001000600,1,1,1,1,1,1,1,1
G17000100006003,170010006003,G1700010000600,17001000600,1,1,1,1,1,1,1,1
G17000100006004,170010006004,G1700010000600,17001000600,1,1,1,1,1,1,1,1
G17000100006005,170010006005,G1700010000600,17001000600,1,1,1,1,1,1,1,1
G17000100007001,170010007001,G1700010000700,17001000700,1,1,1,1,1,1,1,1
G17000100007002,170010007002,G1700010000700,17001000700,1,1,1,1,1,1,1,1
G17000100008001,170010008001,G1700010000800,17001000800,1,1,1,1,1,1,1,1
G17000100008002,170010008002,G1700010000800,17001000800,1,1,1,1,1,1,1,1
G17000100008003,170010008003,G1700010000800,17001000800,1,1,1,1,1,1,1,1
G17000100009001,170010009001,G1700010000900,17001000900,1,1,1,1,1,1,1,1
G17000100009002,170010009002,G1700010000900,17001000900,1,1,1,1,1,1,1,1
G17000100010011,170010010011,G1700010001001,17001001001,1,1,1,1,1,1,1,1
G17000100010012,170010010012,G1700010001001,17001001001,1,1,1,1,1,1,1,1
G17000100010013,170010010013,G1700010001001,17001001001,1,1,1,1,1,1,1,1
G17000100010021,170010010021,G1700010001002,17001001002,1,1,1,1,1,1,1,1
G17000100010022,170010010022,G1700010001002,17001001002,1,1,1,1,1,1,1,1
G17000100011001,170010011001,G1700010001100,17001001100,1,1,1,1,1,1,1,1
G17000100011002,170010011002,G1700010001100,17001001100,1,1,1,1,1,1,1,1
G17000100011003,170010011003,G1700010001100,17001001100,1,1,1,1,1,1,1,1
G17000100011004,170010011004,G1700010001100,17001001100,1,1,1,1,1,1,1,1
G17000100101001,170010101001,G1700010010100,17001010100,1,1,1,1,1,1,1,1
G17000100101002,170010101002,G1700010010100,17001010100,0.9999831633,0.9999661279,0.9999717732,0.9999595362,0.9999705872,0.9999678298,0.999965769,1
G17000100101002,170010101002,G1700010010200,17001010200,0.0000168367,0.0000338721,0.0000282268,0.0000404638,0.0000294128,0.0000321702,0.000034231,0
G17000100101003,170010101003,G1700010010100,17001010100,0.9999222825,1,1,1,1,1,1,1
G17000100101003,170010101003,G1700670954200,17067954200,0.0000777175,0,0,0,0,0,0,0
G17000100101004,170010101004,G1700010010100,17001010100,1,1,1,1,1,1,1,1
G17000100102001,170010102001,G1700010010200,17001010200,1,1,1,1,1,1,1,1
G17000100102002,170010102002,G1700010010100,17001010100,0.0005568226,0.0013563352,0.0014580661,0.0012479738,0.0014181793,0.0013553284,0.001457542,0.0011884301
G17000100102002,170010102002,G1700010010200,17001010200,0.9994431774,0.9986436648,0.9985419339,0.9987520262,0.9985818207,0.9986446716,0.998542458,0.9988115699
G17000100102003,170010102003,G1700010010200,17001010200,0.9990808202,0.9999960254,0.9999964823,0.99999573,0.9999961299,0.9999965135,0.9999955461,0.9999979817
G17000100102003,170010102003,G1700010010301,17001010301,0.0009191798,0.0000039746,0.0000035177,0.00000427,0.0000038701,0.0000034865,0.0000044539,0.0000020183
G17000100102004,170010102004,G1700010010200,17001010200,0.9999738749,0.9999944324,0.9999953264,0.9999948855,0.9999965903,0.9999970047,0.9999954442,1
G17000100102004,170010102004,G1700010010301,17001010301,0.0000261251,0.0000055676,0.0000046736,0.0000051145,0.0000034097,0.0000029953,0.0000045558,0
G17000100103001,170010103001,G1700010010301,17001010301,0.9999981409,0.9999992701,0.999999102,0.9999990416,0.9999992673,0.9999993311,0.999999144,0.9999999128
G17000100103001,170010103001,G1700090970400,17009970400,0.0000018081,0.0000006486,0.0000008138,0.0000008487,0.0000006488,0.0000006062,0.0000007728,0
G17000100103001,170010103001,G1701490952400,17149952400,0.000000051,0.0000000813,0.0000000842,0.0000001098,0.0000000839,0.0000000627,0.0000000833,0.0000000872
G17000100103002,170010103002,G1700010010301,17001010301,0.9999995411,1,1,1,1,1,1,1
G17000100103002,170010103002,G1700010010400,17001010400,0.0000004589,0,0,0,0,0,0,0
G17000100103003,170010103003,G1700010010302,17001010302,1,1,1,1,1,1,1,1
G17000100103004,170010103004,G1700010010301,17001010301,1,1,1,1,1,1,1,1
G17000100103005,170010103005,G1700010010302,17001010302,0.9999635672,0.9999865071,0.9999820152,0.9999843255,0.9999764099,0.9999571089,0.9999735685,1
