cost,Total,"Less than $10,000","$10,000 to $19,999","$20,000 to $29,999","$30,000 to $39,999","$40,000 to $49,999","$50,000 to $59,999","$60,000 to $79,999","$80,000 to $99,999","$100,000 to $119,999","$120,000 to $139,999","$140,000 to $159,999","$160,000 to $179,999","$180,000 to $199,999","$200,000 or more"
Less than $50,107.7,S,S,S,S,S,S,S,S,S,S,S,.,.,S
$50 to $99,496.3,77.8,50.7,61.5,36.9,54.3,36.4,54.7,47.5,31,S,S,S,S,S
$100 to $149,450.1,51.3,51.5,44,S,42.8,S,59.3,41.9,S,25.8,S,S,S,32.1
$150 to $199,361.1,42.3,23.3,S,52,S,37.6,38.8,32.8,22.7,S,S,S,S,S
$200 to $249,435.1,40,S,23.7,35.1,S,26.9,59,60.2,30.3,33.8,S,S,S,39.4
$250 to $299,400.9,S,S,S,22.1,26.5,26.9,48.3,43.4,36,S,S,S,S,66.4
$300 to $399,773.1,S,S,S,38,S,33.6,111.2,75.9,74,56.3,56.7,68.2,51.8,128.6
$400 or more,619,S,S,S,S,S,24.2,36.5,41.8,62.1,42.5,74.5,60.5,24.9,182.7
Median (dollars),246,136,141,128,189,143,231,234,230,287,284,334,321,310,357
Mean (dollars),260.1,168.8,175.4,169.1,210.7,187.2,232.6,241.4,243.8,294.5,277.8,339.3,341,307.9,369.7
