bracket,upper_lim,lower_lim,midpt_range
"Less than $10,000",9999,1,5000
"$10,000 to $19,999",19999,10000,14999.5
"$20,000 to $29,999",29999,20000,24999.5
"$30,000 to $39,999",39999,30000,34999.5
"$40,000 to $49,999",49999,40000,44999.5
"$50,000 to $59,999",59999,50000,54999.5
"$60,000 to $79,999",79999,60000,69999.5
"$80,000 to $99,999",99999,80000,89999.5
"$100,000 to $119,999",119999,100000,109999.5
"$120,000 to $139,999",139999,120000,129999.5
"$140,000 to $159,999",159999,140000,149999.5
"$160,000 to $179,999",179999,160000,169999.5
"$180,000 to $199,999",199999,180000,189999.5
"$200,000 or more",1000000,200000,600000
